Species,Length1,Length2,Length3,Height,Width
Bream,38,41,46.5,17.6235,6.3705
Perch,22,24,25.5,7.293,3.723
Bream,26.8,29.7,34.5,14.1795,5.2785
Pike,32.7,35,38.8,5.9364,4.3844
Roach,12.9,14.1,16.2,4.1472,2.268
Smelt,11.4,12,13.2,2.2044,1.1484
Perch,12.5,13.7,14.7,3.528,1.9992
Perch,37,40,42.4,12.3808,7.4624
Perch,39,42,44.6,12.8002,6.8684
Smelt,10.4,11,12,2.196,1.38
Bream,29.1,31.5,36.4,13.7592,4.368
Bream,26.5,29,34,12.444,5.134
Roach,19.4,21,23.7,6.1146,3.2943
Bream,30.4,33,38.3,14.8604,5.2854
Bream,36.2,39.5,45.3,18.7542,6.7497
