MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
3.75,19,4.47314578,1.038363171,969,2.47826087,33.84,-117.95
4.2554,20,3.778085992,1.062413315,2202,1.52704577,34.06,-118.46
2.5986,11,4.264253394,0.993665158,5982,5.413574661,36.69,-121.62
4.35,28,5.016317016,0.967365967,1623,3.783216783,33.83,-118.27
7.2628,21,6.106382979,0.929787234,1671,3.555319149,33.86,-118.04
3.0324,28,5.066246057,1.009463722,1158,3.652996845,36.22,-119.08
2.5363,25,4.632016632,1.11018711,1130,2.349272349,38.59,-121.4
7.8195,16,8.602348993,1.058724832,2142,3.593959732,33.7,-117.98
4.7717,19,6.008498584,0.966005666,1236,3.501416431,32.86,-116.98
4.6184,36,5.760135135,1.010135135,871,2.942567568,33.95,-118.02
4.5313,38,6.663043478,1.039855072,685,2.481884058,38.59,-121.38
5.3505,15,6.720316623,1.079155673,2118,2.794195251,32.67,-117.03
3.6811,34,4.916158537,1.106707317,1958,2.984756098,37.6,-122.31
2.7813,33,4.799331104,1.076923077,1298,4.341137124,33.9,-118.2
2.3214,41,4.738738739,0.951951952,897,2.693693694,38.64,-121.41
3.475,26,4.966431095,1.081272085,1374,2.427561837,33.84,-117.93
2.8565,12,4.863881402,0.959568733,2650,3.571428571,37.73,-120.95
4.0742,46,5.305439331,1.0041841,661,2.765690377,34.17,-118.36
4.7266,16,6.053639847,0.923371648,917,3.513409962,32.92,-117.13
4.233,34,4.994360902,0.968045113,1948,3.661654135,34.32,-118.43
5.6885,17,6.909923664,1.094656489,2088,3.18778626,34.28,-119.18
3.3929,39,6.656626506,1.084337349,408,2.457831325,39.48,-121.79
5.6233,21,6.605113636,1.041193182,2014,2.860795455,37.03,-122.03
3.3281,32,5.067901235,0.962962963,1261,2.594650206,36.79,-119.76
6.9113,17,7.484536082,0.969072165,630,3.24742268,33.9,-117.86
1.875,33,141.9090909,25.63636364,30,2.727272727,38.91,-120.1
2.1467,15,4.32195122,0.995121951,576,2.809756098,39.6,-121.54
3.8,36,4.601466993,1.107579462,1005,2.457212714,34.26,-118.31
3.4722,34,5.114457831,1.078313253,2108,4.232931727,34.04,-117.98
6.1785,5,7.19778481,1.243670886,1238,1.958860759,33.51,-117.73
4.0598,44,4.3828125,1.12109375,531,2.07421875,33.99,-118.46
3.524,45,5.213963964,1.015765766,1006,2.265765766,37.72,-122.13
2.1389,16,4.316652286,1.018119068,4145,3.57635893,33.89,-118.23
2.9798,35,4.862542955,1.010309278,591,2.030927835,33.84,-118.18
1.6341,38,3.355481728,1.046511628,1157,3.843853821,33.99,-118.18
2.2304,42,4.664670659,0.964071856,884,2.646706587,34.2,-118.5
4.8304,39,5.523684211,1.044736842,1500,3.947368421,34.13,-118.13
8.1839,26,7.900928793,0.972136223,925,2.86377709,33.67,-117.94
4.5313,25,6.795031056,1.17184265,1244,2.575569358,38.27,-122.42
2.5156,49,4.136246787,0.953727506,896,2.303341902,34.02,-118.34
3.1812,22,4.346590909,1.125,390,2.215909091,37.38,-121.95
6.0531,26,6.685840708,1.053097345,1852,4.097345133,33.86,-118.25
1.5071,28,3.481967213,1.013114754,1058,3.468852459,34.38,-119.86
3,32,4.899135447,1.060518732,1487,2.142651297,37.7,-122.07
2.7059,19,3.804878049,1.088414634,1214,3.701219512,33.74,-117.85
5.273,35,5.882783883,1.058608059,829,3.036630037,33.92,-118.01
1.1696,52,2.436,0.944,1349,5.396,37.87,-122.25
4.4453,22,5.548306148,1.070263488,4404,2.762860728,33.72,-118.02
3.8542,33,5.002531646,1.02278481,1379,3.491139241,33.94,-118.09
