cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age
145.7,172.6,0,181.9,3.4,985.8,816.8,28
322,0,0,203,0,974,800,28
229.7,0,118.2,195.2,6.1,1028.1,757.6,14
446,24,79,162,11.6,967,712,3
251.4,0,118.3,188.5,6.4,1028.4,757.7,56
333,0,0,192,0,931.2,842.6,28
159.8,250,0,168.4,12.2,1049.3,688.2,28
380,0,0,228,0,932,670,270
304,76,0,228,0,932,670,90
264.5,111,86.5,195.5,5.9,832.6,790.4,28
382,0,0,186,0,1047,739,28
190,190,0,228,0,932,670,90
237.5,237.5,0,228,0,932,594,270
307,0,0,193,0,968,812,180
289,0,0,192,0,913.2,895.3,90
425,106.3,0,153.5,16.5,852.1,887.1,28
289,0,0,192,0,913.2,895.3,3
252,0,0,185,0,1111,784,28
212.5,0,100.4,159.3,8.7,1007.8,903.6,100
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100
385,0,0,186,0,966,763,14
213.8,98.1,24.5,181.7,6.7,1066,785.5,14
168,42.1,163.8,121.8,5.7,1058.7,780.1,56
273,0,90,199,11,931,762,28
157,214,152,200,9,819,704,28
213.5,0,174.2,159.2,11.7,1043.6,771.9,100
159,209,161,201,7,848,669,28
389.9,189,0,145.9,22,944.7,755.8,3
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28
202,11,141,206,1.7,942,801,7
246.8,0,125.1,143.3,12,1086.8,800.9,100
540,0,0,173,0,1125,613,28
150.9,0,183.9,166.6,11.6,991.2,772.2,28
302,0,0,203,0,974,817,28
155,184,143,194,9,880,699,28
379.5,151.2,0,153.9,15.9,1134.3,605,56
236,0,0,194,0,968,885,14
313.3,145,0,178.5,8,867.2,824,28
139.6,209.4,0,192,0,1047,806.9,3
213.5,0,174.2,159.2,11.7,1043.6,771.9,56
313.8,0,112.6,169.9,10.1,925.3,782.9,28
339,0,0,197,0,968,781,28
250,0,95.7,191.8,5.3,948.9,857.2,56
362.6,189,0,164.9,11.6,944.7,755.8,56
133,200,0,192,0,927.4,839.2,28
250,0,95.7,187.4,5.5,956.9,861.2,56
252.3,0,98.8,146.3,14.2,987.8,889,14
252,0,0,186,0,1111,784,7
218.9,0,124.1,158.5,11.3,1078.7,794.9,100
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28
182,45.2,122,170.2,8.2,1059.4,780.7,28
141.3,212,0,203.5,0,971.8,748.5,3
323.7,282.8,0,183.8,10.3,942.7,659.9,56
194.7,0,100.5,165.6,7.5,1006.4,905.9,100
155.6,243.5,0,180.3,10.7,1022,697.7,28
250,0,0,182,0,1100,820,7
339,0,0,185,0,1060,754,28
397,0,0,186,0,1040,734,28
397,0,0,185,0,1040,734,28
192,288,0,192,0,929.8,716.1,7
102,153,0,192,0,887,942,3
133.1,210.2,0,195.7,3.1,949.4,795.3,28
143.6,0,174.9,158.4,17.9,942.7,844.5,28
531.3,0,0,141.8,28.2,852.1,893.7,91
337.9,189,0,174.9,9.5,944.7,755.8,91
190.3,0,125.2,161.9,9.9,1088.1,802.6,56
401.8,94.7,0,147.4,11.4,946.8,852.1,28
144,136,106,178,7,941,774,28
307,0,0,193,0,968,812,3
153,102,0,192,0,888,943.1,28
387,20,94,157,13.9,938,845,3
249.1,0,98.8,158.1,12.8,987.8,889,28
427.5,47.5,0,228,0,932,594,28
500,0,0,200,0,1125,613,7
251.8,0,99.9,146.1,12.4,1006,899.8,100
139.6,209.4,0,192,0,1047,806.9,7
387,20,94,157,13.9,938,845,56
167,75.4,167,164,7.9,1007.3,770.1,56
203.5,135.7,0,185.7,0,1076.2,759.3,28
166.1,0,163.3,176.5,4.5,1058.6,780.1,28
184,86,190,213,6,923,623,28
173,116,0,192,0,946.8,856.8,7
424,22,132,168,8.9,822,750,7
194.7,0,100.5,170.2,7.5,998,901.8,14
388.6,97.1,0,157.9,12.1,852.1,925.7,3
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28
362.6,189,0,164.9,11.6,944.7,755.8,7
194.7,0,100.5,165.6,7.5,1006.4,905.9,3
374,189.2,0,170.1,10.1,926.1,756.7,7
139.6,209.4,0,192,0,1047,806.9,360
165,0,143.6,163.8,0,1005.6,900.9,100
469,117.2,0,137.8,32.2,852.1,840.5,3
359,19,141,154,10.9,942,801,28
362.6,189,0,164.9,11.6,944.7,755.8,3
500,0,0,200,0,1125,613,28
303.6,139.9,0,213.5,6.2,895.5,722.5,28
500,0,0,200,0,1125,613,90
366,187,0,191,7,824,757,28
140,164,128,237,6,869,656,28
375,0,0,186,0,1038,758,28
